Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
beta_246, 0.472808505139, 0.121504882753, 0.0120778478419, 0.402669370857, 0.718551031949, 0.402293594487, 0.409346171639, 0.416694560373, 0.423624383669, 0.718551031949
beta_247, 0.091440751795, 0.0205194426944, 0.0020464938704, 0.0798723323599, 0.132597580257, 0.0798723323599, 0.0807486905702, 0.0816998282578, 0.083181434767, 0.132597580257
beta_248, -0.311160452615, 0.0649448915086, 0.00600956785818, -0.357108033484, -0.187674251026, -0.358903907572, -0.339394591965, -0.336590641955, -0.325222951838, -0.187674251026
beta_249, -0.92386890511, 0.245523937354, 0.0244268270771, -1.05527782086, -0.404611010182, -1.05765119594, -1.04532178593, -1.02996948003, -1.02211680852, -0.404611010182
beta_250, -3.94416118411, 0.81636292901, 0.081972947491, -4.4237334483, -2.22669968099, -4.43797511991, -4.38007822699, -4.31860443802, -4.23081526448, -2.22669968099
beta_251, -0.606029332011, 0.0827516686583, 0.00810232238398, -0.761407912508, -0.530521712768, -0.761407912508, -0.596383242054, -0.57024311411, -0.560670369057, -0.530024691219
beta_252, -0.359629977601, 0.0834326936717, 0.0083309907207, -0.41189265767, -0.183574231092, -0.414459867392, -0.407789799679, -0.388800801254, -0.380775520519, -0.183574231092
beta_253, 0.831710027095, 0.199799049464, 0.019615297939, 0.690847881263, 1.20962921134, 0.684155567455, 0.717241750383, 0.769917594373, 0.792931079175, 1.20962921134
beta_254, -0.00657109726203, 0.00104046954673, 8.80622133492e-05, -0.00682366591342, -0.00591349992717, -0.00714930327746, -0.00662775661936, -0.00641751894691, -0.00627496128491, -0.00595473690934
beta_255, -0.787309520223, 0.28897320646, 0.0289108917808, -0.962637769873, -0.171276105326, -0.966296226496, -0.952406450837, -0.917189159371, -0.885708290428, -0.171276105326
beta_256, 0.340555316063, 0.0573862836524, 0.00448988154796, 0.312585927112, 0.36385079339, 0.312771440631, 0.322296387086, 0.339441463088, 0.344996703007, 0.374582710693
beta_257, -1.08644225418, 0.0903693625993, 0.00898877959945, -1.15857723522, -0.916002656935, -1.15857723522, -1.14006381352, -1.11724863023, -1.10750622274, -0.916002656935
beta_258, -0.585659147408, 0.0714099964953, 0.00712798443217, -0.641632349007, -0.442610033364, -0.642256234177, -0.632840845937, -0.610811426372, -0.606660775531, -0.442610033364
beta_259, 3.42335546553, 0.499453537745, 0.0499096687269, 2.44467529972, 3.68098671974, 2.44467529972, 3.6593587663, 3.66405646451, 3.67155401125, 3.68249167631
beta_260, -1.00648252451, 0.194076073969, 0.0194551168366, -1.12978183263, -0.59726188157, -1.12978183263, -1.10673118915, -1.08779547808, -1.0799210865, -0.59726188157
beta_261, 0.384747507471, 0.0878701902579, 0.00846622327579, 0.319131638377, 0.537209638225, 0.315509632567, 0.323554533462, 0.352612162557, 0.38633472992, 0.537209638225
beta_262, -1.62504064246, 0.199644695681, 0.0196459383659, -1.72807361957, -1.25696397721, -1.7292466087, -1.71977434664, -1.71296911387, -1.71125037706, -1.25696397721
beta_263, 0.962921826221, 0.177740954437, 0.0177112368099, 0.861611099503, 1.34222676856, 0.854927507008, 0.865473498033, 0.887944750898, 0.908589337611, 1.34222676856
beta_264, 0.492997799928, 0.245573679757, 0.0241846373886, 0.0495615199067, 0.642073360746, 0.0495615199067, 0.559051070839, 0.606225665015, 0.628115272011, 0.644512943551
beta_265, -5.23989861818, 0.247079631008, 0.0206781259691, -5.37180576004, -5.10477624898, -5.37223598325, -5.3209232858, -5.26173168454, -5.2487733838, -5.10477624898
beta_266, -0.513236422864, 0.0688826276345, 0.00657173908847, -0.617542038122, -0.445179580472, -0.617542038122, -0.519963299603, -0.50719613735, -0.476400083036, -0.441927156242
beta_267, 1.02825299541, 0.0700262159192, 0.00688402755318, 0.883694266048, 1.07231467936, 0.883694266048, 1.04418744649, 1.05611975471, 1.06351466855, 1.07654255504
beta_268, -0.750498450423, 0.0911888104912, 0.00905113817774, -0.803674754103, -0.560704612168, -0.804203258705, -0.794437255068, -0.789593141647, -0.785893902865, -0.560704612168
beta_269, 0.0580723200082, 0.148925849478, 0.0149660551518, -0.250121068874, 0.137072936325, -0.250121068874, 0.126150055705, 0.128802370776, 0.131864034969, 0.137465969284
beta_270, -0.670422373183, 0.0426084983702, 0.00389065562675, -0.725521180392, -0.650943764132, -0.725521180392, -0.663215206642, -0.656993527812, -0.652910365853, -0.650943764132
beta_271, -0.0801050225455, 0.0486575115186, 0.00452763845617, -0.113013109681, 0.00948397048384, -0.114522403865, -0.105872339012, -0.0941330731865, -0.0885109610659, 0.00948397048384
beta_272, -1.14923151413, 0.277158526028, 0.0274172510759, -1.30562291522, -0.574638436764, -1.30562291522, -1.29418987557, -1.27795150262, -1.25073412778, -0.574638436764
beta_273, 0.425777206765, 0.131325717399, 0.0126334979546, 0.211655355645, 0.496242509615, 0.211655355645, 0.470112258738, 0.481063056067, 0.488724402561, 0.496814533415
