,,,Salary,Salary,Salary,Salary,Salary,Salary,,
188,Ian Mahinmi,IND,$4000000,,,,,,Early Bird Rights,$4000000
189,J.J. Barea,DAL,$4000000,$4000000,$4000000,$4000000,,,Cap Space,$16000000
190,Thabo Sefolosha,ATL,$4000000,$3850000,,,,,,$7850000
191,Raymond Felton,DAL,$3950313,,,,,,Cap Space,$3950313
192,Harrison Barnes,GSW,$3873398,,,,,,1st Round Pick,$3873398
193,Marreese Speights,GSW,$3815000,,,,,,MLE,$3815000
194,Alex Len,PHO,$3807120,$4823621,,,,,1st Round Pick,$8630741
195,Dante Exum,UTA,$3777720,$3940320,$4992385,,,,1st Round Pick,$7718040
196,Nick Collison,OKC,$3750000,$3750000,,,,,Bird Rights,$7500000
197,Kyle O'Quinn,NYK,$3750000,$3900000,$4100000,$4250000,,,Bird Rights,$11750000
198,Steve Novak,DEN,$3750000,,,,,,,$4166886
199,Mario Hezonja,ORL,$3741480,$3909840,$4078320,$5167231,,,1st round pick,$7651320
200,Lavoy Allen,IND,$3700000,$4000000,$4300000,,,,,$7700000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
201,Anthony Bennett,MIN,$3650000,,,,,,,$3650000
202,Patrick Mills,SAS,$3578947,$3578948,,,,,Bird Rights,$7157895
203,Terrence Ross,TOR,$3553917,$10500000,$10500000,$10500000,,,Rookie scale extension,$35053917
204,Matt Barnes,MEM,$3542500,,,,,,MLE,$3542500
205,Nerlens Noel,PHI,$3457800,$4384490,,,,,1st Round Pick,$7842290
206,Marcus Smart,BOS,$3431040,$3578880,$4538020,,,,1st Round Pick,$7009920
207,Bojan Bogdanovic,BRK,$3425510,$3573020,,,,,MLE,$6998530
208,Evan Turner,BOS,$3425510,,,,,,MLE,$3425510
209,Paul Pierce,LAC,$3400000,$3500000,$3700000,,,,Mini MLE,$10600000
210,Willie Cauley-Stein,SAC,$3398280,$3551160,$3704160,$4696875,,,1st round pick,$6949440
211,Quincy Pondexter,NOP,$3382023,$3617978,$3853931,,,,1st Round Pick,$10853932
212,Anthony Morrow,OKC,$3344000,$3488000,,,,,Cap Space,$3344000
213,K.J. McDaniels,HOU,$3333333,$3333333,$3333334,,,,Mid-level exception,$10000000
214,Will Barton,DEN,$3333333,$3666666,$3999999,,,,Bird Rights,$10999998
215,Mike Scott,ATL,$3333333,$3333334,,,,,,$3333333
216,Drew Gooden,WAS,$3300000,$3600000,,,,,Non Bird Rights,$3300000
