{\rtf1\ansi\ansicpg1252\cocoartf1404\cocoasubrtf130
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs26 \cf0 \expnd0\expndtw0\kerning0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS\
37,31,2016-01-06,39-256,SAS,,UTA,W (+25),1,25:53,8,13,.615,0,0,,2,2,1.000,2,6,8,6,1,0,0,3,18,19.3,+27,39.0\
38,32,2016-01-08,39-258,SAS,,NYK,W (+1),1,20:45,3,5,.600,0,0,,1,2,.500,1,4,5,1,1,0,2,1,7,5.5,+6,15.8\
39,33,2016-01-11,39-261,SAS,@,BRK,W (+27),1,21:39,4,7,.571,0,0,,0,0,,1,3,4,2,1,2,1,2,8,8.3,+11,21.5\
40,34,2016-01-12,39-262,SAS,@,DET,W (+10),1,29:45,5,8,.625,0,0,,4,5,.800,2,7,9,3,4,2,2,3,14,17.8,+6,40.8\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS\
41,35,2016-01-14,39-264,SAS,,CLE,W (+4),1,33:00,4,10,.400,0,1,.000,1,2,.500,2,4,6,3,1,2,1,3,9,8.1,+3,26.5\
42,36,2016-01-17,39-267,SAS,,DAL,W (+29),1,21:03,0,4,.000,0,0,,2,2,1.000,0,5,5,1,0,1,0,2,2,1.3,+16,11.8\
43,,2016-01-21,39-271,SAS,@,PHO,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
44,37,2016-01-22,39-272,SAS,@,LAL,W (+13),1,21:10,1,5,.200,0,0,,2,2,1.000,1,2,3,3,1,1,1,0,4,5.0,+8,15.8\
45,,2016-01-25,39-275,SAS,@,GSW,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
46,,2016-01-27,39-277,SAS,,HOU,W (+31),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
47,,2016-01-30,39-280,SAS,@,CLE,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
48,,2016-02-01,39-282,SAS,,ORL,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
49,,2016-02-03,39-284,SAS,,NOP,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
50,,2016-02-05,39-286,SAS,@,DAL,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
51,,2016-02-06,39-287,SAS,,LAL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
