Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
11,11,1970-11-15,23-213,MIL,,BAL,W (+15),,,11,,,,,,5,6,.833,,,,,,,,,27,\
12,12,1970-11-16,23-214,MIL,,SFW,W (+19),,,13,,,,,,5,9,.556,,,,,,,,,31,\
13,13,1970-11-18,23-216,MIL,@,SDR,W (+6),,,9,,,,,,7,11,.636,,,,,,,,,25,\
14,14,1970-11-20,23-218,MIL,@,LAL,W (+17),,,13,,,,,,3,4,.750,,,,,,,,6,29,\
15,15,1970-11-21,23-219,MIL,@,SFW,W (+25),,,13,,,,,,2,5,.400,,,,,,,,,28,\
16,16,1970-11-22,23-220,MIL,@,POR,W (+22),,,13,,,,,,4,4,1.000,,,,,,,,,30,\
17,17,1970-11-24,23-222,MIL,@,CHI,W (+9),,,14,,,,,,9,12,.750,,,,,,,,6,37,\
18,18,1970-11-25,23-223,MIL,,DET,W (+26),,,13,,,,,,5,9,.556,,,,,,,,,31,\
19,19,1970-11-27,23-225,MIL,,NYK,L (-9),,,14,,,,,,5,9,.556,,,,,,,,,33,\
20,20,1970-11-28,23-226,MIL,@,NYK,L (-1),,,12,,,,,,11,14,.786,,,,,,,,,35,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
21,21,1970-11-29,23-227,MIL,,POR,W (+13),,,14,,,,,,5,7,.714,,,,,,,,,33,\
22,22,1970-12-03,23-231,MIL,,CHI,W (+7),,,9,,,,,,4,8,.500,,,,,,,,,22,\
23,23,1970-12-04,23-232,MIL,,PHI,W (+6),,,14,,,,,,7,17,.412,,,,,,,,,35,\
24,24,1970-12-08,23-236,MIL,,ATL,W (+21),,,11,,,,,,2,2,1.000,,,,,,,,,24,\
25,25,1970-12-09,23-237,MIL,@,BAL,L (-30),,,11,,,,,,2,5,.400,,,,,,,,,24,\
26,26,1970-12-11,23-239,MIL,,CLE,W (+42),,,15,,,,,,4,5,.800,,,,,,,,,34,\
27,27,1970-12-12,23-240,MIL,@,PHO,L (-2),,,17,,,,,,2,6,.333,,,,,,,,,36,\
28,28,1970-12-13,23-241,MIL,@,SEA,W (+17),,,17,,,,,,6,8,.750,,,,,,,,,40,\
29,29,1970-12-18,23-246,MIL,,BOS,W (+10),,,19,,,,,,2,5,.400,,,,,,,,,40,\
30,30,1970-12-19,23-247,MIL,@,CIN,L (-9),,,15,,,,,,5,8,.625,,,,,,,,,35,\
31,31,1970-12-20,23-248,MIL,,BUF,W (+30),,,10,,,,,,7,9,.778,,,,,,,,,27,\
32,32,1970-12-21,23-249,MIL,,LAL,W (+25),,,17,,,,,,3,8,.375,,,,,,,,,37,\
33,33,1970-12-26,23-254,MIL,,SFW,W (+20),,,16,,,,,,2,2,1.000,,,,,,,,,34,\
34,34,1970-12-28,23-256,MIL,,CIN,W (+23),,,13,,,,,,3,5,.600,,,,,,,,,29,\
35,35,1970-12-29,23-257,MIL,@,CLE,W (+22),,,9,,,,,,5,7,.714,,,,,,,,,23,\
36,36,1970-12-30,23-258,MIL,@,PHI,L (-12),,,11,,,,,,8,11,.727,,,,,,,,,30,\
37,37,1971-01-02,23-261,MIL,,CLE,W (+45),,,8,,,,,,11,16,.688,,,,,,,,,27,\
38,38,1971-01-04,23-263,MIL,,SEA,W (+14),,,16,,,,,,6,7,.857,,,,,,,,,38,\
39,39,1971-01-06,23-265,MIL,,CHI,W (+13),,,9,,,,,,6,6,1.000,,,,,,,,,24,\
40,40,1971-01-07,23-266,MIL,,NYK,W (+10),,,11,,,,,,2,6,.333,,,,,,,,,24,\
