Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
31,31,1975-01-29,27-288,MIL,@,KCO,L (-4),,,20,,,,,,3,5,.600,,,,,,,,,43,\
32,32,1975-01-31,27-290,MIL,@,PHI,W (+4),,,12,,,,,,4,6,.667,,,,,,,,,28,\
33,33,1975-02-02,27-292,MIL,@,BOS,L (-18),,,10,,,,,,3,5,.600,,,,,,,,,23,\
34,34,1975-02-05,27-295,MIL,,BOS,L (-2),,,13,,,,,,3,7,.429,,,,,,,,,29,\
35,35,1975-02-06,27-296,MIL,,KCO,L (-1),,,8,,,,,,9,9,1.000,,,,,,,,,25,\
36,36,1975-02-07,27-297,MIL,,NOJ,W (+21),,,15,,,,,,5,6,.833,,,,,,,,,35,\
37,37,1975-02-10,27-300,MIL,,DET,W (+21),,,14,,,,,,11,15,.733,,,,,,,,,39,\
38,38,1975-02-12,27-302,MIL,@,WSB,L (-4),,,13,,,,,,2,2,1.000,,,,,,,,,28,\
39,39,1975-02-14,27-304,MIL,,CLE,W (+7),,,14,,,,,,4,11,.364,,,,,,,,,32,\
40,40,1975-02-16,27-306,MIL,@,NOJ,L (-2),,,14,,,,,,5,6,.833,,,,,,,,,33,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
41,41,1975-02-18,27-308,MIL,@,CLE,W (+11),,,8,,,,,,3,4,.750,,,,,,,,,19,\
42,42,1975-02-21,27-311,MIL,@,CHI,L (-11),,,10,,,,,,0,0,,,,,,,,,,20,\
43,43,1975-02-23,27-313,MIL,,PHO,L (-9),,,13,,,,,,2,2,1.000,,,,,,,,,28,\
44,44,1975-02-25,27-315,MIL,@,KCO,L (-3),,,12,,,,,,3,3,1.000,,,,,,,,,27,\
45,45,1975-02-26,27-316,MIL,@,DET,L (-20),,,9,,,,,,3,5,.600,,,,,,,,,21,\
46,46,1975-02-28,27-318,MIL,@,BOS,L (-1),,,18,,,,,,4,4,1.000,,,,,,,,,40,\
47,47,1975-03-01,27-319,MIL,,BUF,W (+4),,,16,,,,,,2,3,.667,,,,,,,,,34,\
48,48,1975-03-04,27-322,MIL,,DET,W (+18),,,12,,,,,,3,4,.750,,,,,,,,,27,\
49,49,1975-03-06,27-324,MIL,,SEA,W (+10),,,11,,,,,,4,5,.800,,,,,,,,,26,\
50,50,1975-03-08,27-326,MIL,@,BUF,L (-15),,,11,,,,,,5,7,.714,,,,,,,,,27,\
51,51,1975-03-10,27-328,MIL,,KCO,W (+7),,,14,,,,,,6,6,1.000,,,,,,,,,34,\
52,52,1975-03-11,27-329,MIL,,GSW,L (-17),,,7,,,,,,4,6,.667,,,,,,,,6,18,\
53,53,1975-03-13,27-331,MIL,@,ATL,W (+16),,,16,,,,,,9,9,1.000,,,,,,,,,41,\
54,54,1975-03-14,27-332,MIL,,LAL,L (-1),,,11,,,,,,7,8,.875,,,,,,,,,29,\
55,55,1975-03-16,27-334,MIL,@,CHI,W (+13),,,13,,,,,,6,6,1.000,,,,,,,,,32,\
56,56,1975-03-18,27-336,MIL,@,POR,L (-6),,,10,,,,,,8,9,.889,,,,,,,,,28,\
57,57,1975-03-22,27-340,MIL,@,GSW,L (-16),,,10,,,,,,2,3,.667,,,,,,,,,22,\
58,58,1975-03-23,27-341,MIL,@,LAL,L (-19),,,9,,,,,,4,6,.667,,,,,,,,,22,\
59,59,1975-03-25,27-343,MIL,@,PHO,L (-5),,,14,,,,,,6,6,1.000,,,,,,,,,34,\
60,60,1975-03-28,27-346,MIL,,POR,W (+23),,,17,,,,,,4,4,1.000,,,,,,,,,38,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
61,61,1975-03-30,27-348,MIL,@,NYK,L (-12),,,15,,,,,,2,2,1.000,,,,,,,,,32,\
62,62,1975-04-01,27-350,MIL,,DET,W (+7),,,11,,,,,,5,5,1.000,,,,,,,,,27,\
63,63,1975-04-04,27-353,MIL,,NYK,W (+8),,,15,,,,,,3,4,.750,,,,,,,,,33,\
64,64,1975-04-05,27-354,MIL,@,DET,W (+13),,,13,,,,,,2,2,1.000,,,,,,,,,28,\
65,65,1975-04-06,27-355,MIL,,CHI,L (-12),,,14,,,,,,6,11,.545,,,,,,,,,34,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1975-10-23,28-190,LAL,@,NYK,W (+3),,,9,,,,,,9,13,.692,,,,,,,,6,27,\
2,2,1975-10-27,28-194,LAL,@,PHI,L (-13),,,10,,,,,,3,5,.600,,,,,,,,,23,\
3,3,1975-10-28,28-195,LAL,@,MIL,W (+7),,,12,,,,,,6,9,.667,,,,,,,,,30,\
4,4,1975-10-29,28-196,LAL,@,DET,L (-13),,,12,,,,,,6,7,.857,,,,,,,,,30,\
5,5,1975-10-31,28-198,LAL,,SEA,W (+16),,,10,,,,,,7,12,.583,,,,,,,,,27,\
6,6,1975-11-02,28-200,LAL,,ATL,W (+3),,,15,,,,,,9,10,.900,,,,,,,,6,39,\
7,7,1975-11-04,28-202,LAL,@,KCK,L (-18),,,8,,,,,,7,11,.636,,,,,,,,,23,\
8,8,1975-11-05,28-203,LAL,@,NOJ,L (-3),,,11,,,,,,3,6,.500,,,,,,,,,25,\
9,9,1975-11-07,28-205,LAL,,NYK,W (+8),,,16,,,,,,8,13,.615,,,,,,,,,40,\
10,10,1975-11-08,28-206,LAL,@,GSW,L (-8),,,11,,,,,,2,3,.667,,,,,,,,,24,\
11,11,1975-11-09,28-207,LAL,,KCK,W (+13),,,7,,,,,,5,7,.714,,,,,,,,,19,\
12,12,1975-11-12,28-210,LAL,,NOJ,W (+16),,,14,,,,,,5,7,.714,,,,,,,,,33,\
13,13,1975-11-14,28-212,LAL,,PHO,W (+7),,,14,,,,,,7,11,.636,,,,,,,,,35,\
14,14,1975-11-16,28-214,LAL,,CHI,W (+17),,,8,,,,,,2,2,1.000,,,,,,,,,18,\
15,15,1975-11-18,28-216,LAL,@,BUF,L (-14),,,15,,,,,,5,6,.833,,,,,,,,,35,\
16,16,1975-11-19,28-217,LAL,@,HOU,W (+8),,,10,,,,,,6,11,.545,,,,,,,,,26,\
17,17,1975-11-21,28-219,LAL,,MIL,W (+12),,,12,,,,,,6,10,.600,,,,,,,,,30,\
18,18,1975-11-23,28-221,LAL,,HOU,W (+11),,,11,,,,,,0,3,.000,,,,,,,,,22,\
19,19,1975-11-26,28-224,LAL,,POR,L (-17),,,19,,,,,,10,15,.667,,,,,,,,,48,\
20,20,1975-11-28,28-226,LAL,,BUF,W (+21),,,5,,,,,,8,9,.889,,,,,,,,,18,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
21,21,1975-11-30,28-228,LAL,,POR,W (+7),,,11,,,,,,0,4,.000,,,,,,,,6,22,\
22,22,1975-12-02,28-230,LAL,@,WSB,L (-3),,,14,,,,,,2,3,.667,,,,,,,,,30,\
23,23,1975-12-03,28-231,LAL,@,DET,W (+8),,,11,,,,,,7,9,.778,,,,,,,,,29,\
24,24,1975-12-07,28-235,LAL,,WSB,W (+8),,,12,,,,,,3,6,.500,,,,,,,,,27,\
25,25,1975-12-12,28-240,LAL,,PHI,W (+12),,,11,,,,,,12,14,.857,,,,,,,,,34,\
26,26,1975-12-13,28-241,LAL,@,PHO,L (-8),,,14,,,,,,13,14,.929,,,,,,,,,41,\
27,27,1975-12-14,28-242,LAL,,DET,W (+10),,,11,,,,,,5,7,.714,,,,,,,,,27,\
28,28,1975-12-16,28-244,LAL,,CLE,L (-20),,,14,,,,,,6,7,.857,,,,,,,,,34,\
29,29,1975-12-18,28-246,LAL,@,ATL,L (-16),,,12,,,,,,8,11,.727,,,,,,,,,32,\
30,30,1975-12-19,28-247,LAL,@,CHI,L (-13),,,7,,,,,,3,3,1.000,,,,,,,,,17,\
31,31,1975-12-21,28-249,LAL,@,CLE,L (-1),,,13,,,,,,8,10,.800,,,,,,,,,34,\
32,32,1975-12-23,28-251,LAL,,KCK,W (+14),,,10,,,,,,3,5,.600,,,,,,,,,23,\
33,33,1975-12-26,28-254,LAL,,POR,W (+9),,,17,,,,,,7,8,.875,,,,,,,,,41,\
34,34,1975-12-27,28-255,LAL,@,SEA,W (+9),,,6,,,,,,8,12,.667,,,,,,,,6,20,\
35,35,1975-12-28,28-256,LAL,,BOS,L (-10),,,12,,,,,,4,8,.500,,,,,,,,,28,\
36,36,1975-12-30,28-258,LAL,,SEA,L (-12),,,11,,,,,,6,6,1.000,,,,,,,,,28,\
37,37,1976-01-02,28-261,LAL,,GSW,L (-8),,,8,,,,,,9,11,.818,,,,,,,,,25,\
38,38,1976-01-03,28-262,LAL,@,GSW,L (-31),,,9,,,,,,8,8,1.000,,,,,,,,,26,\
39,39,1976-01-04,28-263,LAL,,POR,W (+9),,,15,,,,,,9,10,.900,,,,,,,,,39,\
40,40,1976-01-06,28-265,LAL,@,BUF,L (-1),,,5,,,,,,10,15,.667,,,,,,,,,20,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
41,41,1976-01-07,28-266,LAL,@,BOS,L (-6),,,13,,,,,,1,2,.500,,,,,,,,,27,\
42,42,1976-01-09,28-268,LAL,@,PHI,L (-3),,,3,,,,,,2,2,1.000,,,,,,,,,8,\
43,43,1976-01-11,28-270,LAL,@,MIL,L (-6),,,13,,,,,,9,12,.750,,,,,,,,,35,\
44,44,1976-01-13,28-272,LAL,@,CHI,W (+2),,,13,,,,,,9,12,.750,,,,,,,,,35,\
45,45,1976-01-22,28-281,LAL,@,GSW,L (-24),,,7,,,,,,6,7,.857,,,,,,,,,20,\
46,46,1976-01-23,28-282,LAL,@,POR,L (-23),,,11,,,,,,4,8,.500,,,,,,,,,26,\
47,47,1976-01-25,28-284,LAL,,WSB,L (-4),,,10,,,,,,3,3,1.000,,,,,,,,,23,\
48,48,1976-01-28,28-287,LAL,,PHO,W (+3),,,11,,,,,,6,12,.500,,,,,,,,,28,\
49,49,1976-01-30,28-289,LAL,,POR,L (-8),,,14,,,,,,7,10,.700,,,,,,,,,35,\
50,50,1976-02-01,28-291,LAL,,PHI,W (+21),,,8,,,,,,11,15,.733,,,,,,,,,27,\
51,51,1976-02-05,28-295,LAL,@,KCK,L (-8),,,13,,,,,,5,7,.714,,,,,,,,,31,\
52,52,1976-02-06,28-296,LAL,@,CHI,L (-6),,,15,,,,,,3,4,.750,,,,,,,,,33,\
53,53,1976-02-08,28-298,LAL,@,ATL,W (+8),,,8,,,,,,6,6,1.000,,,,,,,,,22,\
54,54,1976-02-10,28-300,LAL,,DET,W (+18),,,3,,,,,,2,4,.500,,,,,,,,,8,\
55,55,1976-02-13,28-303,LAL,,NOJ,W (+14),,,12,,,,,,8,9,.889,,,,,,,,,32,\
56,56,1976-02-15,28-305,LAL,@,WSB,L (-13),,,10,,,,,,1,2,.500,,,,,,,,,21,\
57,57,1976-02-17,28-307,LAL,@,NOJ,W (+14),,,11,,,,,,6,8,.750,,,,,,,,,28,\
58,58,1976-02-18,28-308,LAL,@,HOU,L (-16),,,16,,,,,,2,4,.500,,,,,,,,,34,\
59,59,1976-02-20,28-310,LAL,,BOS,L (-12),,,8,,,,,,4,5,.800,,,,,,,,,20,\
60,60,1976-02-22,28-312,LAL,@,SEA,L (-6),,,9,,,,,,6,7,.857,,,,,,,,,24,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
61,61,1976-02-27,28-317,LAL,,KCK,W (+7),,,11,,,,,,5,9,.556,,,,,,,,,27,\
62,62,1976-02-29,28-319,LAL,,CLE,W (+11),,,12,,,,,,2,2,1.000,,,,,,,,,26,\
63,63,1976-03-05,28-324,LAL,,GSW,W (+7),,,13,,,,,,9,12,.750,,,,,,,,,35,\
64,64,1976-03-07,28-326,LAL,,CHI,L (-3),,,11,,,,,,3,7,.429,,,,,,,,,25,\
65,65,1976-03-09,28-328,LAL,@,NYK,L (-5),,,12,,,,,,2,6,.333,,,,,,,,,26,\
66,66,1976-03-10,28-329,LAL,@,BOS,L (-3),,,11,,,,,,6,8,.750,,,,,,,,6,28,\
67,67,1976-03-12,28-331,LAL,,NYK,W (+18),,,12,,,,,,5,6,.833,,,,,,,,,29,\
68,68,1976-03-14,28-333,LAL,,BUF,W (+28),,,13,,,,,,4,5,.800,,,,,,,,,30,\
69,69,1976-03-16,28-335,LAL,@,CLE,W (+4),,,16,,,,,,0,0,,,,,,,,,,32,\
70,70,1976-03-17,28-336,LAL,@,MIL,L (-13),,,10,,,,,,1,1,1.000,,,,,,,,,21,\
71,71,1976-03-19,28-338,LAL,,DET,W (+15),,,9,,,,,,7,9,.778,,,,,,,,,25,\
72,72,1976-03-20,28-339,LAL,@,PHO,L (-13),,,11,,,,,,6,11,.545,,,,,,,,,28,\
73,73,1976-03-21,28-340,LAL,,MIL,L (-19),,,13,,,,,,8,12,.667,,,,,,,,,34,\
74,74,1976-03-23,28-342,LAL,,HOU,W (+19),,,15,,,,,,0,0,,,,,,,,,,30,\
75,75,1976-03-26,28-345,LAL,,ATL,W (+22),,,10,,,,,,3,4,.750,,,,,,,,,23,\
76,76,1976-03-27,28-346,LAL,@,GSW,L (-16),,,4,,,,,,3,5,.600,,,,,,,,,11,\
77,77,1976-03-28,28-347,LAL,,PHO,L (-3),,,12,,,,,,11,17,.647,,,,,,,,,35,\
78,78,1976-03-31,28-350,LAL,@,SEA,L (-11),,,10,,,,,,10,17,.588,,,,,,,,,30,\
79,79,1976-04-02,28-352,LAL,,SEA,W (+8),,,10,,,,,,3,4,.750,,,,,,,,6,23,\
80,80,1976-04-04,28-354,LAL,,GSW,W (+7),,,16,,,,,,2,5,.400,,,,,,,,,34,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
81,81,1976-04-06,28-356,LAL,@,POR,L (-2),,,12,,,,,,5,7,.714,,,,,,,,,29,\
82,82,1976-04-08,28-358,LAL,@,PHO,L (-15),,,11,,,,,,6,9,.667,,,,,,,,,28,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1976-10-21,29-188,LAL,@,NYK,L (-5),,,13,,,,,,3,6,.500,,,,,,,,,29,\
2,2,1976-10-22,29-189,LAL,@,WSB,W (+19),,,15,,,,,,3,5,.600,,,,,,,,,33,\
3,3,1976-10-24,29-191,LAL,@,CLE,L (-5),,,9,,,,,,11,12,.917,,,,,,,,,29,\
4,4,1976-10-26,29-193,LAL,@,KCK,L (-2),,,9,,,,,,7,13,.538,,,,,,,,6,25,\
5,5,1976-10-29,29-196,LAL,,ATL,W (+17),,,14,,,,,,1,1,1.000,,,,,,,,,29,\
6,6,1976-10-31,29-198,LAL,,DET,W (+20),,,9,,,,,,3,5,.600,,,,,,,,,21,\
7,7,1976-11-05,29-203,LAL,,NYK,L (-5),,,15,,,,,,7,12,.583,,,,,,,,,37,\
8,8,1976-11-07,29-205,LAL,,KCK,W (+11),,,11,,,,,,2,4,.500,,,,,,,,,24,\
9,9,1976-11-09,29-207,LAL,@,BUF,L (-5),,,17,,,,,,3,4,.750,,,,,,,,,37,\
10,10,1976-11-10,29-208,LAL,@,BOS,L (-5),,,13,,,,,,7,10,.700,,,,,,,,6,33,\
11,11,1976-11-12,29-210,LAL,,IND,W (+11),,,16,,,,,,2,3,.667,,,,,,,,,34,\
12,12,1976-11-14,29-212,LAL,,CLE,L (-2),,,7,,,,,,6,7,.857,,,,,,,,,20,\
13,13,1976-11-19,29-217,LAL,,GSW,W (+22),,,12,,,,,,4,4,1.000,,,,,,,,,28,\
14,14,1976-11-21,29-219,LAL,,NYN,W (+5),,,14,,,,,,5,6,.833,,,,,,,,,33,\
15,15,1976-11-23,29-221,LAL,@,MIL,W (+3),,,14,,,,,,8,9,.889,,,,,,,,,36,\
16,16,1976-11-24,29-222,LAL,@,DEN,L (-10),,,11,,,,,,6,6,1.000,,,,,,,,,28,\
17,17,1976-11-26,29-224,LAL,,POR,W (+3),,,13,,,,,,6,8,.750,,,,,,,,,32,\
18,18,1976-11-28,29-226,LAL,,CHI,W (+19),,,10,,,,,,1,4,.250,,,,,,,,,21,\
19,19,1976-11-30,29-228,LAL,,WSB,W (+7),,,11,,,,,,4,6,.667,,,,,,,,,26,\
20,20,1976-12-03,29-231,LAL,,SAS,W (+9),,,10,,,,,,1,1,1.000,,,,,,,,,21,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
21,21,1976-12-04,29-232,LAL,@,GSW,L (-2),,,8,,,,,,3,6,.500,,,,,,,,,19,\
22,22,1976-12-07,29-235,LAL,@,CHI,L (-8),,,5,,,,,,3,4,.750,,,,,,,,,13,\
23,23,1976-12-08,29-236,LAL,@,IND,L (-13),,,9,,,,,,4,6,.667,,,,,,,,,22,\
24,24,1976-12-10,29-238,LAL,,HOU,W (+10),,,7,,,,,,4,5,.800,,,,,,,,,18,\
25,25,1976-12-12,29-240,LAL,,DEN,W (+29),,,8,,,,,,2,2,1.000,,,,,,,,,18,\
26,26,1976-12-14,29-242,LAL,@,ATL,L (-2),,,13,,,,,,5,7,.714,,,,,,,,,31,\
27,27,1976-12-15,29-243,LAL,@,NOJ,W (+10),,,16,,,,,,3,5,.600,,,,,,,,,35,\
28,28,1976-12-17,29-245,LAL,,PHO,W (+13),,,12,,,,,,3,5,.600,,,,,,,,,27,\
29,29,1976-12-18,29-246,LAL,@,POR,W (+4),,,17,,,,,,1,3,.333,,,,,,,,,35,\
30,30,1976-12-19,29-247,LAL,,KCK,W (+11),,,9,,,,,,3,4,.750,,,,,,,,,21,\
31,31,1976-12-21,29-249,LAL,,BUF,W (+8),,,10,,,,,,6,8,.750,,,,,,,,,26,\
32,32,1976-12-25,29-253,LAL,@,PHO,L (-17),,,9,,,,,,4,9,.444,,,,,,,,,22,\
33,33,1976-12-26,29-254,LAL,,MIL,W (+8),,,9,,,,,,1,2,.500,,,,,,,,,19,\
34,34,1976-12-28,29-256,LAL,,BOS,W (+29),,,12,,,,,,6,6,1.000,,,,,,,,,30,\
35,35,1977-01-02,29-261,LAL,,POR,W (+5),,,11,,,,,,3,4,.750,,,,,,,,,25,\
36,36,1977-01-05,29-264,LAL,@,PHI,L (-23),,,12,,,,,,4,5,.800,,,,,,,,,28,\
37,37,1977-01-07,29-266,LAL,@,NYN,W (+3),,,6,,,,,,7,10,.700,,,,,,,,,19,\
38,38,1977-01-09,29-268,LAL,@,DET,W (+6),,,10,,,,,,8,8,1.000,,,,,,,,,28,\
39,39,1977-01-11,29-270,LAL,@,CLE,W (+2),,,16,,,,,,8,12,.667,,,,,,,,,40,\
40,40,1977-01-14,29-273,LAL,@,SAS,W (+3),,,7,,,,,,4,6,.667,,,,,,,,,18,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
41,41,1977-01-15,29-274,LAL,@,HOU,L (-6),,,11,,,,,,6,6,1.000,,,,,,,,,28,\
42,42,1977-01-18,29-277,LAL,@,KCK,W (+2),,,15,,,,,,6,7,.857,,,,,,,,,36,\
43,43,1977-01-21,29-280,LAL,,NYK,W (+14),,,13,,,,,,9,10,.900,,,,,,,,,35,\
44,44,1977-01-23,29-282,LAL,,IND,W (+17),,,10,,,,,,5,6,.833,,,,,,,,,25,\
45,45,1977-01-25,29-284,LAL,,SEA,W (+11),,,10,,,,,,2,2,1.000,,,,,,,,,22,\
46,46,1977-01-26,29-285,LAL,@,SEA,L (-15),,,5,,,,,,4,4,1.000,,,,,,,,6,14,\
47,47,1977-01-28,29-287,LAL,,PHI,W (+13),,,16,,,,,,7,13,.538,,,,,,,,,39,\
48,48,1977-01-30,29-289,LAL,,NOJ,W (+2),,,12,,,,,,3,7,.429,,,,,,,,,27,\
49,49,1977-02-01,29-291,LAL,,MIL,W (+21),,,15,,,,,,4,8,.500,,,,,,,,,34,\
50,50,1977-02-04,29-294,LAL,@,BOS,L (-1),,,13,,,,,,7,10,.700,,,,,,,,,33,\
51,51,1977-02-06,29-296,LAL,@,PHI,L (-5),,,10,,,,,,6,8,.750,,,,,,,,,26,\
52,52,1977-02-08,29-298,LAL,@,NYK,L (-18),,,7,,,,,,8,13,.615,,,,,,,,,22,\
53,53,1977-02-09,29-299,LAL,@,BUF,W (+15),,,13,,,,,,4,4,1.000,,,,,,,,,30,\
54,54,1977-02-11,29-301,LAL,,DEN,W (+8),,,11,,,,,,7,8,.875,,,,,,,,,29,\
55,55,1977-02-18,29-308,LAL,,ATL,L (-10),,,10,,,,,,6,8,.750,,,,,,,,,26,\
56,56,1977-02-20,29-310,LAL,@,WSB,W (+7),,,14,,,,,,7,8,.875,,,,,,,,,35,\
57,57,1977-02-22,29-312,LAL,@,SAS,L (-32),,,13,,,,,,3,6,.500,,,,,,,,,29,\
58,58,1977-02-23,29-313,LAL,@,DET,L (-1),,,6,,,,,,2,2,1.000,,,,,,,,,14,\
59,59,1977-02-25,29-315,LAL,,PHI,W (+2),,,15,,,,,,9,10,.900,,,,,,,,,39,\
60,60,1977-02-27,29-317,LAL,,HOU,W (+5),,,11,,,,,,7,11,.636,,,,,,,,,29,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
61,61,1977-03-01,29-319,LAL,@,ATL,W (+2),,,10,,,,,,4,7,.571,,,,,,,,,24,\
62,62,1977-03-02,29-320,LAL,@,HOU,L (-7),,,7,,,,,,9,12,.750,,,,,,,,,23,\
63,63,1977-03-04,29-322,LAL,,CHI,L (-15),,,9,,,,,,0,4,.000,,,,,,,,,18,\
64,64,1977-03-06,29-324,LAL,,CLE,W (+5),,,7,,,,,,6,9,.667,,,,,,,,6,20,\
65,65,1977-03-11,29-329,LAL,,WSB,W (+3),,,13,,,,,,5,9,.556,,,,,,,,,31,\
66,66,1977-03-13,29-331,LAL,@,NYN,W (+3),,,8,,,,,,7,11,.636,,,,,,,,,23,\
67,67,1977-03-14,29-332,LAL,@,MIL,L (-4),,,9,,,,,,7,8,.875,,,,,,,,,25,\
68,68,1977-03-15,29-333,LAL,@,DEN,L (-12),,,10,,,,,,1,2,.500,,,,,,,,,21,\
69,69,1977-03-18,29-336,LAL,,GSW,W (+13),,,11,,,,,,2,3,.667,,,,,,,,,24,\
70,70,1977-03-20,29-338,LAL,,NOJ,W (+5),,,12,,,,,,5,6,.833,,,,,,,,,29,\
71,71,1977-03-22,29-340,LAL,@,CHI,L (-16),,,9,,,,,,0,1,.000,,,,,,,,,18,\
72,72,1977-03-23,29-341,LAL,@,IND,W (+8),,,12,,,,,,2,3,.667,,,,,,,,,26,\
73,73,1977-03-25,29-343,LAL,,PHO,W (+25),,,13,,,,,,2,7,.286,,,,,,,,,28,\
74,74,1977-03-26,29-344,LAL,@,PHO,W (+7),,,12,,,,,,2,2,1.000,,,,,,,,,26,\
75,75,1977-03-27,29-345,LAL,,BUF,W (+3),,,6,,,,,,3,7,.429,,,,,,,,,15,\
76,76,1977-03-29,29-347,LAL,,SEA,W (+3),,,10,,,,,,9,16,.563,,,,,,,,,29,\
77,77,1977-04-01,29-350,LAL,,SAS,W (+5),,,11,,,,,,1,2,.500,,,,,,,,,23,\
78,78,1977-04-03,29-352,LAL,,DET,W (+8),,,14,,,,,,5,8,.625,,,,,,,,,33,\
79,79,1977-04-05,29-354,LAL,@,GSW,L (-29),,,10,,,,,,8,8,1.000,,,,,,,,,28,\
80,80,1977-04-08,29-357,LAL,,NYN,W (+24),,,4,,,,,,2,2,1.000,,,,,,,,,10,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
81,81,1977-04-09,29-358,LAL,@,POR,L (-29),,,2,,,,,,4,4,1.000,,,,,,,,,8,\
82,82,1977-04-10,29-359,LAL,@,SEA,W (+9),,,11,,,,,,8,11,.727,,,,,,,,,30,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1977-10-18,30-185,LAL,@,MIL,L (-5),,,0,,,,,,0,0,,,,,,,,,,0,\
2,2,1977-12-04,30-232,LAL,,DEN,L (-2),,,10,,,,,,1,2,.500,,,,,,,,,21,\
3,3,1977-12-06,30-234,LAL,,MIL,W (+1),,,12,,,,,,2,4,.500,,,,,,,,,26,\
4,4,1977-12-09,30-237,LAL,,HOU,L (-11),,,13,,,,,,6,8,.750,,,,,,,,,32,\
5,5,1977-12-11,30-239,LAL,,BUF,W (+5),,,14,,,,,,15,19,.789,,,,,,,,,43,\
6,6,1977-12-13,30-241,LAL,@,NOJ,L (-23),,,13,,,,,,7,7,1.000,,,,,,,,,33,\
7,7,1977-12-14,30-242,LAL,@,HOU,W (+22),,,7,,,,,,5,6,.833,,,,,,,,,19,\
8,8,1977-12-16,30-244,LAL,,SEA,L (-8),,,18,,,,,,1,2,.500,,,,,,,,,37,\
9,9,1977-12-18,30-246,LAL,,BOS,W (+7),,,15,,,,,,2,3,.667,,,,,,,,,32,\
10,10,1977-12-20,30-248,LAL,,WSB,W (+5),,,13,,,,,,4,6,.667,,,,,,,,,30,\
11,11,1977-12-23,30-251,LAL,@,POR,L (-10),,,9,,,,,,9,9,1.000,,,,,,,,,27,\
12,12,1977-12-25,30-253,LAL,@,SEA,W (+15),,,15,,,,,,5,5,1.000,,,,,,,,,35,\
13,13,1977-12-27,30-255,LAL,@,GSW,W (+41),,,7,,,,,,0,0,,,,,,,,,,14,\
14,14,1977-12-30,30-258,LAL,,KCK,W (+10),,,10,,,,,,5,12,.417,,,,,,,,,25,\
15,15,1978-01-03,30-262,LAL,@,NYK,W (+3),,,8,,,,,,4,4,1.000,,,,,,,,,20,\
16,16,1978-01-04,30-263,LAL,@,BUF,L (-1),,,6,,,,,,7,8,.875,,,,,,,,,19,\
17,17,1978-01-06,30-265,LAL,@,PHI,L (-13),,,5,,,,,,4,6,.667,,,,,,,,,14,\
18,18,1978-01-08,30-267,LAL,@,IND,L (-1),,,7,,,,,,5,6,.833,,,,,,,,,19,\
19,19,1978-01-10,30-269,LAL,@,CHI,L (-4),,,5,,,,,,6,6,1.000,,,,,,,,6,16,\
