Player,Tm,2015-16,DRtg,ORtg
Victor Oladipo,Orlando Magic,5192520,106,105
Tony Allen,Memphis Grizzlies,5168539,105,101
Jabari Parker,Milwaukee Bucks,5152440,111,106
Dion Waiters,Oklahoma City Thunder,5138430,108,99
D'Angelo Russell,Los Angeles Lakers,5103120,112,96
Darren Collison,Sacramento Kings,5013559,112,115
Tim Duncan,San Antonio Spurs,5000000,96,107
Chris Kaman,Portland Trail Blazers,5000000,110,100
C.J. Watson,Orlando Magic,5000000,110,102
Kyle Singler,Oklahoma City Thunder,5000000,108,102
Chris Andersen,Memphis Grizzlies,5000000,106,129
Chase Budinger,Indiana Pacers,5000000,113,104
Marcus Morris,Detroit Pistons,5000000,108,107
J.R. Smith,Cleveland Cavaliers,5000000,106,110
Jonas Jerebko,Boston Celtics,5000000,104,107
Timofey Mozgov,Cleveland Cavaliers,4950000,103,112
Derrick Williams,New York Knicks,4900000,108,110
Trevor Booker,Utah Jazz,4775000,102,109
Otto Porter,Washington Wizards,4662960,105,112
Jonas Valanciunas,Toronto Raptors,4660482,102,120
Kris Humphries,Phoenix Suns,4600000,107,108
Jahlil Okafor,Philadelphia 76ers,4582680,110,99
Jameer Nelson,Denver Nuggets,4500000,112,99
Mike Dunleavy,Chicago Bulls,4500000,109,105
C.J. Miles,Indiana Pacers,4394225,104,104
Jason Smith,Orlando Magic,4300000,105,100
Alexis Ajinca,New Orleans Pelicans,4300000,107,100
Mario Chalmers,Memphis Grizzlies,4300000,106,111
Jared Dudley,Washington Wizards,4250000,107,114
Damian Lillard,Portland Trail Blazers,4236287,110,113
Cody Zeller,Charlotte Hornets,4204200,102,119
Aaron Gordon,Orlando Magic,4171680,105,114
Kristaps Porzingis,New York Knicks,4131720,103,103
Vince Carter,Memphis Grizzlies,4088091,108,107
Devin Harris,Dallas Mavericks,4053000,107,107
Alan Anderson,Washington Wizards,4000000,108,107
Nemanja Bjelica,Minnesota Timberwolves,4000000,110,114
Jordan Hill,Indiana Pacers,4000000,102,106
Ian Mahinmi,Indiana Pacers,4000000,100,114
J.J. Barea,Dallas Mavericks,4000000,111,106
Thabo Sefolosha,Atlanta Hawks,4000000,100,108
Raymond Felton,Dallas Mavericks,3950313,108,102
Harrison Barnes,Golden State Warriors,3873398,107,114
Marreese Speights,Golden State Warriors,3815000,103,102
Alex Len,Phoenix Suns,3807120,107,96
Nick Collison,Oklahoma City Thunder,3750000,107,99
Kyle O'Quinn,New York Knicks,3750000,102,102
Steve Novak,Denver Nuggets,3750000,117,126
Mario Hezonja,Orlando Magic,3741480,109,97
Lavoy Allen,Indiana Pacers,3700000,104,110
Anthony Bennett,Minnesota Timberwolves,3650000,102,94
Patrick Mills,San Antonio Spurs,3578947,102,109
Terrence Ross,Toronto Raptors,3553917,107,110
Matt Barnes,Memphis Grizzlies,3542500,107,99
Nerlens Noel,Philadelphia 76ers,3457800,103,99
Marcus Smart,Boston Celtics,3431040,103,101
Bojan Bogdanovic,Brooklyn Nets,3425510,115,102
Evan Turner,Boston Celtics,3425510,104,102
Paul Pierce,Los Angeles Clippers,3400000,105,93
Willie Cauley-Stein,Sacramento Kings,3398280,107,119
Anthony Morrow,Oklahoma City Thunder,3344000,110,114
K.J. McDaniels,Houston Rockets,3333333,110,101
Will Barton,Denver Nuggets,3333333,108,105
Mike Scott,Atlanta Hawks,3333333,104,112
Drew Gooden,Washington Wizards,3300000,104,85
Andre Drummond,Detroit Pistons,3272091,98,103
Randy Foye,Oklahoma City Thunder,3270000,112,99
Ben McLemore,Sacramento Kings,3156600,111,95
Julius Randle,Los Angeles Lakers,3132240,108,97
Emmanuel Mudiay,Denver Nuggets,3102240,110,88
Austin Rivers,Los Angeles Clippers,3100000,107,101
Meyers Leonard,Portland Trail Blazers,3075880,109,107
Norris Cole,New Orleans Pelicans,3036927,111,94
Jeremy Lamb,Charlotte Hornets,3034356,103,104
Tibor Pleiss,Utah Jazz,3000000,106,82
Bismack Biyombo,Toronto Raptors,3000000,101,118
Luis Scola,Toronto Raptors,3000000,105,105
Omri Casspi,Sacramento Kings,3000000,108,109
Dante Cunningham,New Orleans Pelicans,3000000,112,109
Jerryd Bayless,Milwaukee Bucks,3000000,112,110
Brandon Bass,Los Angeles Lakers,3000000,111,127
Anthony Tolliver,Detroit Pistons,3000000,107,113
D.J. Augustin,Denver Nuggets,3000000,111,116
John Henson,Milwaukee Bucks,2943221,105,108
Maurice Harkless,Portland Trail Blazers,2894059,108,110
Kentavious Caldwell-Pope,Detroit Pistons,2891760,107,107
Kirk Hinrich,Atlanta Hawks,2870000,110,103
Nik Stauskas,Philadelphia 76ers,2869440,113,98
Mike Miller,Portland Trail Blazers,2854940,109,100
Brian Roberts,Portland Trail Blazers,2854940,111,111
Udonis Haslem,Miami Heat,2854940,103,99
