,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year,diff
193,Milwaukee Bucks,86.0,Indiana Pacers,123.0,2016,-37.0
194,Philadelphia 76ers,91.0,Miami Heat,96.0,2016,-5.0
195,Sacramento Kings,97.0,Orlando Magic,91.0,2016,6.0
196,Memphis Grizzlies,82.0,San Antonio Spurs,92.0,2016,-10.0
197,Boston Celtics,101.0,Brooklyn Nets,111.0,2016,-10.0
198,Golden State Warriors,118.0,Denver Nuggets,105.0,2016,13.0
199,Toronto Raptors,91.0,Los Angeles Clippers,80.0,2016,11.0
200,Portland Trail Blazers,107.0,Los Angeles Lakers,93.0,2016,14.0
201,Phoenix Suns,116.0,New Orleans Pelicans,122.0,2016,-6.0
202,Dallas Mavericks,114.0,Oklahoma City Thunder,117.0,2016,-3.0
203,Sacramento Kings,122.0,Charlotte Hornets,127.0,2016,-5.0
204,Orlando Magic,103.0,Cleveland Cavaliers,117.0,2016,-14.0
205,New York Knicks,78.0,Miami Heat,95.0,2016,-17.0
206,Detroit Pistons,88.0,Milwaukee Bucks,109.0,2016,-21.0
207,Philadelphia 76ers,95.0,Minnesota Timberwolves,100.0,2016,-5.0
208,Phoenix Suns,84.0,San Antonio Spurs,98.0,2016,-14.0
209,Oklahoma City Thunder,111.0,Utah Jazz,89.0,2016,22.0
210,Boston Celtics,97.0,Atlanta Hawks,121.0,2016,-24.0
211,Los Angeles Clippers,111.0,Denver Nuggets,94.0,2016,17.0
212,Los Angeles Lakers,77.0,Golden State Warriors,111.0,2016,-34.0
213,Dallas Mavericks,96.0,Memphis Grizzlies,110.0,2016,-14.0
214,Chicago Bulls,93.0,Portland Trail Blazers,88.0,2016,5.0
215,Indiana Pacers,123.0,Washington Wizards,106.0,2016,17.0
216,Philadelphia 76ers,80.0,Boston Celtics,84.0,2016,-4.0
217,Washington Wizards,87.0,Charlotte Hornets,101.0,2016,-14.0
218,Miami Heat,81.0,Detroit Pistons,104.0,2016,-23.0
219,Memphis Grizzlies,102.0,Houston Rockets,93.0,2016,9.0
220,Utah Jazz,102.0,Los Angeles Clippers,91.0,2016,11.0
221,Sacramento Kings,129.0,Milwaukee Bucks,118.0,2016,11.0
222,Atlanta Hawks,95.0,Minnesota Timberwolves,99.0,2016,-4.0
223,Brooklyn Nets,99.0,Oklahoma City Thunder,110.0,2016,-11.0
224,New York Knicks,91.0,Orlando Magic,100.0,2016,-9.0
225,New Orleans Pelicans,120.0,Phoenix Suns,114.0,2016,6.0
226,Dallas Mavericks,83.0,San Antonio Spurs,88.0,2016,-5.0
227,Cleveland Cavaliers,99.0,Toronto Raptors,103.0,2016,-4.0
228,Washington Wizards,78.0,Boston Celtics,111.0,2016,-33.0
229,Cleveland Cavaliers,95.0,Charlotte Hornets,90.0,2016,5.0
230,San Antonio Spurs,91.0,Denver Nuggets,80.0,2016,11.0
231,Philadelphia 76ers,114.0,Houston Rockets,116.0,2016,-2.0
232,Chicago Bulls,92.0,Indiana Pacers,104.0,2016,-12.0
233,New Orleans Pelicans,90.0,Los Angeles Clippers,111.0,2016,-21.0
234,Atlanta Hawks,116.0,Memphis Grizzlies,101.0,2016,15.0
235,Miami Heat,97.0,New York Knicks,78.0,2016,19.0
236,Detroit Pistons,87.0,Oklahoma City Thunder,103.0,2016,-16.0
237,Milwaukee Bucks,90.0,Orlando Magic,114.0,2016,-24.0
238,Golden State Warriors,135.0,Phoenix Suns,116.0,2016,19.0
239,Minnesota Timberwolves,101.0,Sacramento Kings,91.0,2016,10.0
240,Brooklyn Nets,88.0,Cleveland Cavaliers,90.0,2016,-2.0
241,Denver Nuggets,81.0,Dallas Mavericks,92.0,2016,-11.0
242,Sacramento Kings,101.0,Golden State Warriors,120.0,2016,-19.0
243,Los Angeles Lakers,96.0,Portland Trail Blazers,108.0,2016,-12.0
244,Atlanta Hawks,88.0,San Antonio Spurs,108.0,2016,-20.0
245,New Orleans Pelicans,87.0,Utah Jazz,101.0,2016,-14.0
246,Toronto Raptors,84.0,Washington Wizards,82.0,2016,2.0
247,Detroit Pistons,83.0,Brooklyn Nets,87.0,2016,-4.0
248,Milwaukee Bucks,82.0,Charlotte Hornets,87.0,2016,-5.0
249,Minnesota Timberwolves,99.0,Los Angeles Clippers,107.0,2016,-8.0
250,Indiana Pacers,107.0,Los Angeles Lakers,103.0,2016,4.0
251,Philadelphia 76ers,84.0,Memphis Grizzlies,92.0,2016,-8.0
252,Houston Rockets,116.0,New York Knicks,111.0,2016,5.0
253,Boston Celtics,91.0,Orlando Magic,110.0,2016,-19.0
254,Phoenix Suns,107.0,Toronto Raptors,102.0,2016,5.0
255,Oklahoma City Thunder,100.0,Atlanta Hawks,106.0,2016,-6.0
256,San Antonio Spurs,89.0,Chicago Bulls,92.0,2016,-3.0
257,Houston Rockets,105.0,Detroit Pistons,116.0,2016,-11.0
258,Portland Trail Blazers,87.0,Los Angeles Clippers,102.0,2016,-15.0
259,Boston Celtics,105.0,Miami Heat,95.0,2016,10.0
260,Denver Nuggets,74.0,Milwaukee Bucks,92.0,2016,-18.0
261,Dallas Mavericks,98.0,Sacramento Kings,112.0,2016,-14.0
262,Golden State Warriors,106.0,Utah Jazz,103.0,2016,3.0
264,Phoenix Suns,91.0,Brooklyn Nets,94.0,2016,-3.0
265,Washington Wizards,97.0,Cleveland Cavaliers,85.0,2016,12.0
266,Orlando Magic,96.0,Minnesota Timberwolves,93.0,2016,3.0
267,Memphis Grizzlies,113.0,New Orleans Pelicans,104.0,2016,9.0
268,Los Angeles Lakers,91.0,Philadelphia 76ers,103.0,2016,-12.0
269,Dallas Mavericks,115.0,Portland Trail Blazers,112.0,2016,3.0
270,Toronto Raptors,96.0,Atlanta Hawks,86.0,2016,10.0
271,Denver Nuggets,90.0,Chicago Bulls,99.0,2016,-9.0
272,Golden State Warriors,116.0,Charlotte Hornets,99.0,2016,17.0
273,Phoenix Suns,122.0,Detroit Pistons,127.0,2016,-5.0
274,New Orleans Pelicans,101.0,Houston Rockets,108.0,2016,-7.0
275,Indiana Pacers,103.0,Los Angeles Clippers,91.0,2016,12.0
276,Philadelphia 76ers,87.0,New York Knicks,99.0,2016,-12.0
277,Milwaukee Bucks,70.0,San Antonio Spurs,95.0,2016,-25.0
